Name,Email,Similarity with job description,Job Description
NY Terrence,tcoleman@email.com,17,appdeveloper
KALEB SAXTON,ksaxton@email.com,93,datascientist
JACKSON MACARTHUR,jmacattack@email.com,19,datascientist
TX linkedin.com/in/karlie-b,karlieb@email.com,46,databasedeveloper
JACKSON MACARTHUR,jmacattack@email.com,81,webdeveloper
JACKSON MACARTHUR,jmacattack@email.com,46,databasedeveloper
K A,kloudor@email.com,24,databasedeveloper
K A,kloudor@email.com,60,datascientist
K A,kloudor@email.com,24,databasedeveloper
KALEB SAXTON,ksaxton@email.com,29,databasedeveloper
K A,kloudor@email.com,60,datascientist
